source_rel_path,audio_16k_rel_path,spectrogram_rel_path,embedding_rel_path,duration_sec,sr,spectrogram_shape,embedding_shape,model,input_length_sec,embedding_key
771736.mp3,audio_16k/771736.wav,spectrograms/771736.mp3.npz,embeddings/771736.mp3.npz,234.241125,16000,14641x96,78x500,MSD_musicnn_big,3.0,penultimate
779794.mp3,audio_16k/779794.wav,spectrograms/779794.mp3.npz,embeddings/779794.mp3.npz,160.9926875,16000,10063x96,53x500,MSD_musicnn_big,3.0,penultimate
785099.mp3,audio_16k/785099.wav,spectrograms/785099.mp3.npz,embeddings/785099.mp3.npz,188.21225,16000,11764x96,62x500,MSD_musicnn_big,3.0,penultimate
803157.mp3,audio_16k/803157.wav,spectrograms/803157.mp3.npz,embeddings/803157.mp3.npz,155.9771875,16000,9749x96,52x500,MSD_musicnn_big,3.0,penultimate
806165_Geoplex---Enduring.mp3,audio_16k/806165_Geoplex---Enduring.wav,spectrograms/806165_Geoplex---Enduring.mp3.npz,embeddings/806165_Geoplex---Enduring.mp3.npz,137.43025,16000,8590x96,45x500,MSD_musicnn_big,3.0,penultimate
815771.mp3,audio_16k/815771.wav,spectrograms/815771.mp3.npz,embeddings/815771.mp3.npz,155.14125,16000,9697x96,51x500,MSD_musicnn_big,3.0,penultimate
830992.mp3,audio_16k/830992.wav,spectrograms/830992.mp3.npz,embeddings/830992.mp3.npz,65.828625,16000,4115x96,22x500,MSD_musicnn_big,3.0,penultimate
831097.mp3,audio_16k/831097.wav,spectrograms/831097.mp3.npz,embeddings/831097.mp3.npz,251.219625,16000,15702x96,83x500,MSD_musicnn_big,3.0,penultimate
837148.mp3,audio_16k/837148.wav,spectrograms/837148.mp3.npz,embeddings/837148.mp3.npz,310.6481875,16000,19416x96,103x500,MSD_musicnn_big,3.0,penultimate
838244.mp3,audio_16k/838244.wav,spectrograms/838244.mp3.npz,embeddings/838244.mp3.npz,257.9853125,16000,16125x96,86x500,MSD_musicnn_big,3.0,penultimate
849505.mp3,audio_16k/849505.wav,spectrograms/849505.mp3.npz,embeddings/849505.mp3.npz,263.0406875,16000,16441x96,87x500,MSD_musicnn_big,3.0,penultimate
85046.mp3,audio_16k/85046.wav,spectrograms/85046.mp3.npz,embeddings/85046.mp3.npz,133.8514375,16000,8366x96,44x500,MSD_musicnn_big,3.0,penultimate
858309.mp3,audio_16k/858309.wav,spectrograms/858309.mp3.npz,embeddings/858309.mp3.npz,224.182875,16000,14012x96,74x500,MSD_musicnn_big,3.0,penultimate
860368.mp3,audio_16k/860368.wav,spectrograms/860368.mp3.npz,embeddings/860368.mp3.npz,84.912,16000,5308x96,28x500,MSD_musicnn_big,3.0,penultimate
873398.mp3,audio_16k/873398.wav,spectrograms/873398.mp3.npz,embeddings/873398.mp3.npz,213.333375,16000,13334x96,71x500,MSD_musicnn_big,3.0,penultimate
87895.mp3,audio_16k/87895.wav,spectrograms/87895.mp3.npz,embeddings/87895.mp3.npz,153.65225,16000,9604x96,51x500,MSD_musicnn_big,3.0,penultimate
879836.mp3,audio_16k/879836.wav,spectrograms/879836.mp3.npz,embeddings/879836.mp3.npz,204.068625,16000,12755x96,68x500,MSD_musicnn_big,3.0,penultimate
885880.mp3,audio_16k/885880.wav,spectrograms/885880.mp3.npz,embeddings/885880.mp3.npz,150.047375,16000,9378x96,50x500,MSD_musicnn_big,3.0,penultimate
898411.mp3,audio_16k/898411.wav,spectrograms/898411.mp3.npz,embeddings/898411.mp3.npz,318.552,16000,19910x96,106x500,MSD_musicnn_big,3.0,penultimate
911047.mp3,audio_16k/911047.wav,spectrograms/911047.mp3.npz,embeddings/911047.mp3.npz,208.6956875,16000,13044x96,69x500,MSD_musicnn_big,3.0,penultimate
918196.mp3,audio_16k/918196.wav,spectrograms/918196.mp3.npz,embeddings/918196.mp3.npz,216.738,16000,13547x96,72x500,MSD_musicnn_big,3.0,penultimate
919253.mp3,audio_16k/919253.wav,spectrograms/919253.mp3.npz,embeddings/919253.mp3.npz,281.1820625,16000,17574x96,93x500,MSD_musicnn_big,3.0,penultimate
921619.mp3,audio_16k/921619.wav,spectrograms/921619.mp3.npz,embeddings/921619.mp3.npz,508.392,16000,31775x96,169x500,MSD_musicnn_big,3.0,penultimate
936883.mp3,audio_16k/936883.wav,spectrograms/936883.mp3.npz,embeddings/936883.mp3.npz,181.91675,16000,11370x96,60x500,MSD_musicnn_big,3.0,penultimate
940443.mp3,audio_16k/940443.wav,spectrograms/940443.mp3.npz,embeddings/940443.mp3.npz,310.909125,16000,19432x96,103x500,MSD_musicnn_big,3.0,penultimate
947198.mp3,audio_16k/947198.wav,spectrograms/947198.mp3.npz,embeddings/947198.mp3.npz,264.6204375,16000,16539x96,88x500,MSD_musicnn_big,3.0,penultimate
964228.mp3,audio_16k/964228.wav,spectrograms/964228.mp3.npz,embeddings/964228.mp3.npz,273.92,16000,17121x96,91x500,MSD_musicnn_big,3.0,penultimate
970213.mp3,audio_16k/970213.wav,spectrograms/970213.mp3.npz,embeddings/970213.mp3.npz,205.8710625,16000,12867x96,68x500,MSD_musicnn_big,3.0,penultimate
99477.mp3,audio_16k/99477.wav,spectrograms/99477.mp3.npz,embeddings/99477.mp3.npz,446.4588125,16000,27904x96,149x500,MSD_musicnn_big,3.0,penultimate
Overwhelm.mp3,audio_16k/Overwhelm.wav,spectrograms/Overwhelm.mp3.npz,embeddings/Overwhelm.mp3.npz,147.75,16000,9235x96,49x500,MSD_musicnn_big,3.0,penultimate
